Time,Monday,Tuesday,Wednesday,Thursday,Friday
00:00,13.0,18.0,530.0,502.0,14.0
09:30,0.0,0.0,0.0,0.0,4.0
09:45,20.0,5.0,0.0,0.0,15.0
10:00,12.0,0.0,105.0,0.0,522.0
10:30,0.0,0.0,18.0,90.0,0.0
10:45,172.0,162.0,3750.0,4346.0,297.0
11:00,0.0,5.0,242.0,374.0,45.0
11:15,13.0,11.0,57.0,132.0,24.0
11:30,0.0,195.0,292.0,495.0,342.0
11:45,39.0,338.0,65.0,273.0,545.0
12:00,24.0,226.0,35.0,140.0,9.0
12:15,8.0,13.0,12.0,0.0,0.0
12:20,8.0,0.0,0.0,0.0,0.0
12:30,0.0,52.0,0.0,40.0,75.0
12:45,77.0,238.0,306.0,442.0,522.0
13:00,350.0,293.0,4580.0,4649.0,816.0
13:10,0.0,20.0,0.0,0.0,0.0
13:15,113.0,16.0,162.0,126.0,54.0
13:30,16.0,16.0,0.0,0.0,199.0
13:45,33.0,11.0,446.0,1056.0,17.0
14:00,0.0,27.0,22.0,124.0,188.0
14:15,71.0,11.0,194.0,352.0,0.0
14:30,0.0,16.0,18.0,0.0,33.0
14:45,28.0,0.0,14.0,28.0,0.0
15:00,156.0,65.0,182.0,97.0,213.0
15:15,349.0,450.0,6658.0,3955.0,841.0
15:30,193.0,264.0,316.0,140.0,0.0
15:45,81.0,18.0,108.0,36.0,53.0
16:00,0.0,20.0,12.0,0.0,11.0
16:15,146.0,351.0,220.0,286.0,94.0
16:30,20.0,48.0,330.0,584.0,0.0
16:45,0.0,52.0,0.0,70.0,0.0
17:00,0.0,269.0,334.0,183.0,0.0
17:15,51.0,177.0,204.0,170.0,255.0
17:30,162.0,252.0,4789.0,5285.0,84.0
17:45,0.0,0.0,0.0,42.0,0.0
18:00,0.0,0.0,0.0,0.0,9.0
18:15,0.0,0.0,0.0,22.0,0.0
19:00,104.0,13.0,65.0,13.0,0.0
